run,event,trackIndex,gid,layer,wire,localLayer,sLayer,rawDriftDist,rawDriftDistErr,middleX,middleY,isSignal,PID,charge,turnId,scaledFltLen,lrAmbig,posX,posY,posZ,momX,momY,momZ,initialPosX,initialPosY,initialPosZ,initialMomX,initialMomY,initialMomZ
-9947,12,5,317,5,65,1,1,0.372839,0.0115987,12.4559,-5.48074,1,211,1,1,0.202388,1,12.6431,-4.73087,-6.67934,0.0471508,-3.59632e-05,-0.0292452,0.0537745,0.00156384,1.93036,0.0455061,-0.034186,-0.0383782,
-9947,12,1,318,5,66,1,1,0.264225,0.0117697,12.8862,-4.37428,1,2212,1,1,0.0641834,1,13.185,-3.48637,-14.0213,0.245316,-0.0442615,-0.291011,0.0537745,0.00156384,1.93036,0.24431,-0.0848671,-0.305618,
-9947,12,4,321,5,69,1,1,0.110455,0.0148559,13.5793,-0.890032,1,-211,-1,1,0.0480083,-1,13.5149,-1.63449,9.61465,0.180611,-0.0410043,0.103992,0.0537745,0.00156384,1.93036,0.186084,-0.00511756,0.105916,
-9947,12,0,322,5,70,1,1,0.88772,0.018387,13.6052,0.296866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,0,323,5,71,1,1,0.863844,0.018387,13.5275,1.4815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,2,337,6,13,2,1,0.173512,0.0119407,4.84114,13.9607,1,-2212,-1,1,0.0358708,-1,4.86258,13.9333,-2.34194,0.0907101,0.200628,-0.0624192,0.0537745,0.00156384,1.93036,0.0614813,0.246262,-0.077464,
-9947,12,0,356,6,32,2,1,1.04947,0.0174412,-13.5378,5.92156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,3,357,6,33,2,1,0.244616,0.0108728,-13.9607,4.84114,1,211,1,1,0.104711,1,-14.2337,3.9444,-11.7747,-0.129275,0.0137423,-0.119732,0.0537745,0.00156384,1.93036,-0.119796,0.0543995,-0.120827,
-9947,12,0,376,6,52,2,1,0.979671,0.0174412,-5.92156,-13.5378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,0,383,6,59,2,1,0.955282,0.0174412,2.02453,-14.6369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,0,386,6,62,2,1,0.955483,0.0174412,5.3855,-13.7599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
